DATE,WPS411103
2009-03-01,99.7
2009-04-01,99.9
2009-05-01,100.1
2009-06-01,100.4
2009-07-01,100.8
2009-08-01,101.2
2009-09-01,101.9
2009-10-01,102.7
2009-11-01,102.9
2009-12-01,103.3
2010-01-01,104.6
2010-02-01,104.8
2010-03-01,104.9
2010-04-01,105.3
2010-05-01,105.6
2010-06-01,105.9
2010-07-01,106.4
2010-08-01,106.7
2010-09-01,107.0
2010-10-01,107.0
2010-11-01,107.4
2010-12-01,107.5
2011-01-01,109.2
2011-02-01,109.4
2011-03-01,109.5
2011-04-01,109.7
2011-05-01,110.0
2011-06-01,110.3
2011-07-01,110.5
2011-08-01,110.7
2011-09-01,111.0
2011-10-01,111.3
2011-11-01,111.5
2011-12-01,111.5
2012-01-01,112.0
2012-02-01,112.2
2012-03-01,112.4
2012-04-01,112.8
2012-05-01,113.1
2012-06-01,113.3
2012-07-01,113.4
2012-08-01,113.6
2012-09-01,113.8
2012-10-01,113.7
2012-11-01,113.8
2012-12-01,114.4
2013-01-01,113.6
2013-02-01,114.0
2013-03-01,114.3
2013-04-01,114.4
2013-05-01,114.6
2013-06-01,114.9
2013-07-01,115.2
2013-08-01,115.5
2013-09-01,115.7
2013-10-01,115.8
2013-11-01,116.0
2013-12-01,116.5
2014-01-01,115.7
2014-02-01,116.0
2014-03-01,116.0
2014-04-01,116.2
2014-05-01,116.2
2014-06-01,116.3
2014-07-01,116.4
2014-08-01,116.5
2014-09-01,116.7
2014-10-01,117.0
2014-11-01,117.3
2014-12-01,117.7
2015-01-01,116.6
2015-02-01,116.5
2015-03-01,116.7
2015-04-01,116.7
2015-05-01,117.0
2015-06-01,117.1
2015-07-01,117.2
2015-08-01,117.4
2015-09-01,117.6
2015-10-01,118.1
2015-11-01,118.3
2015-12-01,118.4
2016-01-01,118.9
2016-02-01,118.9
2016-03-01,119.0
2016-04-01,119.4
2016-05-01,119.6
2016-06-01,119.7
2016-07-01,120.0
2016-08-01,120.3
2016-09-01,120.5
2016-10-01,120.8
2016-11-01,121.1
2016-12-01,121.4
2017-01-01,123.4
2017-02-01,123.7
2017-03-01,124.1
2017-04-01,124.5
2017-05-01,125.0
2017-06-01,125.2
2017-07-01,125.3
2017-08-01,125.5
2017-09-01,125.8
2017-10-01,126.1
2017-11-01,126.5
2017-12-01,126.6
2018-01-01,129.3
2018-02-01,129.7
2018-03-01,130.1
2018-04-01,130.5
2018-05-01,131.0
2018-06-01,131.3
2018-07-01,133.1
2018-08-01,133.5
2018-09-01,134.1
2018-10-01,134.4
2018-11-01,134.9
2018-12-01,134.9
2019-01-01,133.7
2019-02-01,134.1
2019-03-01,134.3
2019-04-01,134.8
2019-05-01,135.1
2019-06-01,135.3
2019-07-01,135.5
2019-08-01,135.9
2019-09-01,136.1
2019-10-01,136.6
2019-11-01,136.9
2019-12-01,137.0
2020-01-01,137.3
2020-02-01,138.0
2020-03-01,138.5
2020-04-01,138.9
2020-05-01,138.9
2020-06-01,139.4
2020-07-01,139.4
2020-08-01,139.6
2020-09-01,139.9
2020-10-01,140.2
2020-11-01,140.5
2020-12-01,140.6
2021-01-01,139.3
2021-02-01,139.7
2021-03-01,139.8
2021-04-01,140.1
2021-05-01,140.6
2021-06-01,140.8
2021-07-01,141.304
2021-08-01,141.404
2021-09-01,141.771
2021-10-01,141.964
2021-11-01,142.312
2021-12-01,142.943
2022-01-01,143.468
2022-02-01,143.168
2022-03-01,143.194
2022-04-01,143.451
2022-05-01,143.731
2022-06-01,143.965
2022-07-01,144.094
2022-08-01,144.358
2022-09-01,144.660
2022-10-01,145.086
2022-11-01,145.252
2022-12-01,145.589
2023-01-01,146.825
2023-02-01,147.213
2023-03-01,147.466
2023-04-01,147.762
2023-05-01,147.764
2023-06-01,148.105
2023-07-01,148.133
2023-08-01,148.865
2023-09-01,149.258
2023-10-01,149.608
2023-11-01,149.890
2023-12-01,150.093
2024-01-01,153.105
2024-02-01,153.579
2024-03-01,154.098
2024-04-01,154.321
2024-05-01,154.617
2024-06-01,154.861
2024-07-01,155.050
2024-08-01,155.845
2024-09-01,156.120
