observation_date,MDSBDSPIBLEND_NBD20000101,INFAPSPIBLEND_NBD20000101,MNINEIPIBLEND_NBD20000101
2000-01-01,100.0,100.0,100.0
2001-01-01,107.9,108.8,99.8
2002-01-01,115.0,116.6,102.9
2003-01-01,121.1,119.9,107.9
2004-01-01,127.5,130.3,111.5
2005-01-01,130.2,139.9,112.9
2006-01-01,134.7,149.9,113.9
2007-01-01,134.9,158.8,115.6
2008-01-01,141.6,171.7,122.6
2009-01-01,145.7,178.9,123.1
2010-01-01,150.9,186.0,121.5
2011-01-01,155.8,194.7,124.2
2012-01-01,158.3,198.4,126.9
2013-01-01,161.9,200.5,125.5
2014-01-01,168.0,216.8,137.6
2015-01-01,173.2,242.7,140.2
2016-01-01,174.9,248.9,129.1
2017-01-01,179.0,249.2,138.5
2018-01-01,184.4,258.6,148.2
2019-01-01,187.8,267.3,153.8
2020-01-01,198.7,331.8,161.6
2021-01-01,204.4,334.7,160.5
