DATE,WPS5111
2009-06-01,100.1
2009-07-01,100.3
2009-08-01,100.5
2009-09-01,100.7
2009-10-01,100.9
2009-11-01,101.1
2009-12-01,101.3
2010-01-01,101.5
2010-02-01,101.6
2010-03-01,101.9
2010-04-01,102.1
2010-05-01,102.1
2010-06-01,102.6
2010-07-01,102.7
2010-08-01,103.1
2010-09-01,103.4
2010-10-01,103.5
2010-11-01,103.7
2010-12-01,103.7
2011-01-01,103.9
2011-02-01,104.3
2011-03-01,104.3
2011-04-01,104.6
2011-05-01,104.6
2011-06-01,104.9
2011-07-01,105.1
2011-08-01,105.2
2011-09-01,105.4
2011-10-01,105.6
2011-11-01,105.7
2011-12-01,105.9
2012-01-01,106.1
2012-02-01,106.1
2012-03-01,106.2
2012-04-01,106.3
2012-05-01,106.6
2012-06-01,106.6
2012-07-01,107.1
2012-08-01,107.1
2012-09-01,107.1
2012-10-01,107.2
2012-11-01,107.3
2012-12-01,107.7
2013-01-01,108.0
2013-02-01,108.3
2013-03-01,108.5
2013-04-01,108.3
2013-05-01,108.5
2013-06-01,108.8
2013-07-01,109.0
2013-08-01,108.8
2013-09-01,109.2
2013-10-01,109.4
2013-11-01,109.5
2013-12-01,109.6
2014-01-01,109.8
2014-02-01,109.8
2014-03-01,110.0
2014-04-01,110.0
2014-05-01,110.2
2014-06-01,110.3
2014-07-01,109.9
2014-08-01,110.5
2014-09-01,110.6
2014-10-01,110.5
2014-11-01,110.6
2014-12-01,110.7
2015-01-01,110.0
2015-02-01,110.1
2015-03-01,110.2
2015-04-01,110.2
2015-05-01,110.4
2015-06-01,110.4
2015-07-01,110.3
2015-08-01,110.2
2015-09-01,110.3
2015-10-01,110.6
2015-11-01,110.7
2015-12-01,110.7
2016-01-01,110.7
2016-02-01,110.8
2016-03-01,110.9
2016-04-01,110.9
2016-05-01,111.1
2016-06-01,111.1
2016-07-01,111.2
2016-08-01,111.5
2016-09-01,111.7
2016-10-01,111.8
2016-11-01,111.9
2016-12-01,112.0
2017-01-01,112.3
2017-02-01,112.3
2017-03-01,112.4
2017-04-01,112.6
2017-05-01,112.6
2017-06-01,112.7
2017-07-01,112.7
2017-08-01,113.1
2017-09-01,113.1
2017-10-01,113.2
2017-11-01,113.2
2017-12-01,113.3
2018-01-01,113.9
2018-02-01,114.0
2018-03-01,114.3
2018-04-01,114.6
2018-05-01,114.6
2018-06-01,114.8
2018-07-01,115.1
2018-08-01,115.1
2018-09-01,115.1
2018-10-01,115.2
2018-11-01,115.2
2018-12-01,115.3
2019-01-01,115.5
2019-02-01,115.7
2019-03-01,115.6
2019-04-01,116.2
2019-05-01,116.7
2019-06-01,116.7
2019-07-01,117.0
2019-08-01,117.0
2019-09-01,117.0
2019-10-01,117.7
2019-11-01,117.7
2019-12-01,117.5
2020-01-01,118.2
2020-02-01,118.0
2020-03-01,118.0
2020-04-01,118.3
2020-05-01,118.9
2020-06-01,119.2
2020-07-01,119.7
2020-08-01,120.1
2020-09-01,120.1
2020-10-01,120.1
2020-11-01,120.2
2020-12-01,120.2
2021-01-01,121.8
2021-02-01,122.0
2021-03-01,122.1
2021-04-01,122.4
2021-05-01,122.6
2021-06-01,122.9
2021-07-01,123.319
2021-08-01,123.420
2021-09-01,123.610
2021-10-01,123.861
2021-11-01,124.034
2021-12-01,124.138
2022-01-01,125.107
2022-02-01,125.228
2022-03-01,125.234
2022-04-01,125.338
2022-05-01,125.365
2022-06-01,125.805
2022-07-01,126.181
2022-08-01,126.089
2022-09-01,126.141
2022-10-01,125.961
2022-11-01,126.211
2022-12-01,126.035
2023-01-01,126.196
2023-02-01,126.959
2023-03-01,127.172
2023-04-01,127.733
2023-05-01,127.909
2023-06-01,127.873
2023-07-01,128.765
2023-08-01,128.889
2023-09-01,129.040
2023-10-01,129.525
2023-11-01,129.652
2023-12-01,129.510
2024-01-01,130.536
2024-02-01,130.991
2024-03-01,131.133
2024-04-01,131.349
2024-05-01,131.717
2024-06-01,131.904
2024-07-01,132.010
2024-08-01,132.403
2024-09-01,132.494
